offset,result,steps,price
0.1,SUCCESS,4,1002.19
0.12,SUCCESS,2,1002.19
0.25,SUCCESS,1,1002.19
0.0,SUCCESS,7,1002.1
0.01,SUCCESS,1,1002.11
0.05,SUCCESS,4,1002.15
0.1,SUCCESS,0,1002.19
0.12,SUCCESS,1,1002.19
0.25,SUCCESS,0,1002.19
0.0,SUCCESS,9,1002.1
0.01,SUCCESS,3,1002.11
0.05,SUCCESS,1,1002.15
0.1,SUCCESS,2,1002.19
0.12,SUCCESS,0,1002.19
0.25,SUCCESS,2,1002.19
0.0,SUCCESS,14,1002.1
0.01,SUCCESS,1,1002.11
0.05,SUCCESS,0,1002.15
0.1,SUCCESS,2,1002.19
0.12,TIMEOUT,51,
0.25,SUCCESS,2,1002.39
0.0,SUCCESS,37,1002.3
0.01,SUCCESS,0,1002.31
0.05,SUCCESS,2,1002.35
0.1,SUCCESS,0,1002.39
0.12,SUCCESS,2,1002.39
0.25,SUCCESS,2,1002.39
0.0,SUCCESS,25,1002.3
0.01,SUCCESS,0,1002.31
0.05,SUCCESS,3,1002.35
0.1,SUCCESS,0,1002.39
0.12,SUCCESS,1,1002.39
0.25,SUCCESS,0,1002.39
0.0,SUCCESS,18,1002.3
0.01,SUCCESS,1,1002.31
0.05,SUCCESS,4,1002.35
0.1,SUCCESS,1,1002.39
0.12,SUCCESS,0,1002.39
0.25,SUCCESS,0,1002.39
0.0,SUCCESS,29,1002.3
0.01,SUCCESS,1,1002.31
0.05,SUCCESS,1,1002.35
0.1,SUCCESS,0,1002.39
0.12,SUCCESS,0,1002.39
0.25,SUCCESS,0,1002.39
0.0,SUCCESS,27,1002.3
0.01,SUCCESS,0,1002.31
0.05,SUCCESS,0,1002.35
0.1,SUCCESS,0,1002.39
0.12,SUCCESS,3,1002.39
0.25,TIMEOUT,51,
0.0,SUCCESS,31,1002.9
0.01,SUCCESS,0,1002.91
0.05,SUCCESS,2,1002.95
0.1,SUCCESS,0,1002.99
0.12,SUCCESS,0,1002.99
0.25,SUCCESS,0,1002.99
0.0,SUCCESS,21,1002.9
0.01,SUCCESS,0,1002.91
0.05,SUCCESS,0,1002.95
0.1,SUCCESS,2,1002.99
0.12,SUCCESS,0,1002.99
0.25,SUCCESS,2,1002.99
0.0,SUCCESS,14,1002.9
0.01,SUCCESS,0,1002.91
0.05,SUCCESS,0,1002.95
0.1,SUCCESS,0,1002.99
0.12,SUCCESS,0,1002.99
0.25,SUCCESS,0,1002.99
0.0,SUCCESS,11,1002.9
0.01,SUCCESS,1,1002.91
0.05,SUCCESS,3,1002.95
0.1,TIMEOUT,51,
0.12,SUCCESS,1,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,22,1003.1
0.01,SUCCESS,3,1003.11
0.05,SUCCESS,2,1003.15
0.1,SUCCESS,5,1003.19
0.12,SUCCESS,0,1003.19
0.25,SUCCESS,0,1003.19
0.0,SUCCESS,17,1003.1
0.01,SUCCESS,7,1003.11
0.05,SUCCESS,0,1003.15
0.1,SUCCESS,2,1003.19
0.12,SUCCESS,4,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,21,1003.1
0.01,SUCCESS,2,1003.11
0.05,SUCCESS,0,1003.15
0.1,SUCCESS,1,1003.19
0.12,SUCCESS,2,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,19,1003.1
0.01,SUCCESS,2,1003.11
0.05,SUCCESS,0,1003.15
0.1,SUCCESS,1,1003.19
0.12,SUCCESS,0,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,19,1003.1
0.01,SUCCESS,1,1003.11
0.05,SUCCESS,1,1003.15
0.1,SUCCESS,0,1003.19
0.12,SUCCESS,0,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,28,1003.1
0.01,SUCCESS,0,1003.11
0.05,SUCCESS,1,1003.15
0.1,SUCCESS,4,1003.19
0.12,SUCCESS,1,1003.19
0.25,SUCCESS,2,1003.19
0.0,SUCCESS,23,1003.1
0.01,SUCCESS,1,1003.11
0.05,SUCCESS,1,1003.15
0.1,SUCCESS,2,1003.19
0.12,SUCCESS,0,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,29,1003.1
0.01,SUCCESS,2,1003.11
0.05,SUCCESS,0,1003.15
0.1,SUCCESS,2,1003.19
0.12,SUCCESS,0,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,19,1003.1
0.01,SUCCESS,1,1003.11
0.05,SUCCESS,0,1003.15
0.1,SUCCESS,1,1003.19
0.12,SUCCESS,3,1003.19
0.25,SUCCESS,1,1003.19
0.0,SUCCESS,24,1003.1
0.01,SUCCESS,2,1003.11
0.05,SUCCESS,8,1003.15
0.1,SUCCESS,1,1003.19
0.12,SUCCESS,0,1003.19
0.25,TIMEOUT,51,
0.0,SUCCESS,17,1003.2
0.01,SUCCESS,3,1003.21
0.05,SUCCESS,0,1003.25
0.1,SUCCESS,2,1003.29
0.12,SUCCESS,1,1003.29
0.25,SUCCESS,1,1003.29
0.0,SUCCESS,20,1003.2
0.01,SUCCESS,2,1003.21
0.05,SUCCESS,2,1003.25
0.1,SUCCESS,2,1003.29
0.12,SUCCESS,4,1003.29
0.25,SUCCESS,1,1003.29
0.0,SUCCESS,11,1003.2
0.01,SUCCESS,1,1003.21
0.05,SUCCESS,6,1003.25
0.1,SUCCESS,2,1003.29
0.12,SUCCESS,7,1003.29
0.25,SUCCESS,0,1003.29
0.0,SUCCESS,11,1003.2
0.01,SUCCESS,3,1003.21
0.05,SUCCESS,1,1003.25
0.1,SUCCESS,1,1003.29
0.12,SUCCESS,0,1003.29
0.25,TIMEOUT,51,
0.0,SUCCESS,26,1003.3
0.01,SUCCESS,1,1003.31
0.05,SUCCESS,7,1003.35
0.1,SUCCESS,1,1003.39
0.12,SUCCESS,1,1003.39
0.25,SUCCESS,0,1003.39
0.0,SUCCESS,19,1003.3
0.01,SUCCESS,1,1003.31
0.05,SUCCESS,1,1003.35
0.1,SUCCESS,2,1003.39
0.12,SUCCESS,1,1003.39
0.25,SUCCESS,0,1003.39
0.0,SUCCESS,18,1003.3
